id,keywords,image
1,pomegranate Granny_Smith,app1.jpg
2,Granny_Smith,app2.jpg
3,Granny_Smith strawberry,app3.jpg
4,desktop_computer,comp1.jpg
5,desktop_computer,comp2.jpg
6,golden_retriever Labrador_retriever bloodhound,dog1.jpg
7,pug,dog2.jpg
8,Brittany_spaniel golden_retriever,dog3.jpg
9,notebook laptop,lap1.jpg
10,notebook wallet laptop,lap2.jpg
11,remote_control,phone1.jpg
12,cellular_telephone iPod,phone2.jpg
13,raspberrypi rpi,rpi1.jpg
14,raspberrypi rpi,rpi2.jpg
15,arduino esp8266,ard1.jpg
16,arduino esp8266,ard2.jpg
17,pir sensor,pir1.jpg
18,pir sensor,pir2.jpg
19,ir sensor,rpi1.jpg
20,ir sensor,rpi2.jpg
21,ultrasonic distance sensor,usds1.jpg
22,ultrasonic distance sensor,usds2.jpg
